date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:04	114438/114438	U-----	200	untouched ('OK')	image/svg+xml	etag:%228d22fa482ce8012cc6cac266727a5388-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d17bc040-9e8b-4397-8356-8153f4a64edf.svg	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/d17bc040-9e8b-4397-8356-8153f4a64edf.svg	(from https://www.tmax.co.kr/)
21:49:04	22840/22840	---M--	200	added ('OK')	font/ttf	date:Wed,%2011%20Oct%202017%2018:22:31%20GMT	http://fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SS3USBnSvpkopQaUR-2r7iU.ttf	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/aDjpMND83pDErGXlVEr-SS3USBnSvpkopQaUR-2r7iU.ttf	(from https://www.tmax.co.kr/)
21:49:05	140060/140060	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2267f1080bf6002608168231c7aecb9fc8-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/e4bd4516-4480-43df-aa6e-4e9b9029f53e.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/e4bd4516-4480-43df-aa6e-4e9b9029f53ed41d.eot	(from https://www.tmax.co.kr/)
21:49:05	13612/13612	U-----	200	untouched ('')	font/woff2	date:Tue,%2023%20Jul%202019%2003:47:06%20GMT	https://fonts.gstatic.com/s/montserrat/v14/JTURjIg1_i6t8kCHKm45_dJE3gnD_vx3rCs.woff2	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/montserrat/v14/JTURjIg1_i6t8kCHKm45_dJE3gnD_vx3rCs.woff2	(from https://www.tmax.co.kr/)
21:49:05	139884/139884	U-----	200	untouched ('')	application/x-font-ttf	etag:%22822ef8a45f1207a49edf008b4645d5a1-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/7da02f05-ae8b-43a1-aeb9-83b3c0527c06.ttf	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/7da02f05-ae8b-43a1-aeb9-83b3c0527c06.ttf	(from https://www.tmax.co.kr/)
21:49:05	62112/62112	U-----	200	untouched ('')	application/x-font-woff	etag:W/%2264a58f40e6f0fe7b449373c156ed4fde-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/b56b944e-bbe0-4450-a241-de2125d3e682.woff	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/b56b944e-bbe0-4450-a241-de2125d3e682.woff	(from https://www.tmax.co.kr/)
21:49:05	257656/257656	U-----	200	untouched ('OK')	image/svg+xml	etag:%2290d90aafefb3d6bacbdcc66899439ff0-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/66cac56e-d017-4544-9d0c-f7d978f0c5c2.svg	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/66cac56e-d017-4544-9d0c-f7d978f0c5c2.svg	(from https://www.tmax.co.kr/)
21:49:06	16032/16032	---M--	200	added ('OK')	font/woff	date:Wed,%2011%20Oct%202017%2018:22:50%20GMT	http://fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjRa1RVmPjeKy21_GQJaLlJI.woff	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/s/poppins/v5/RbebACOccNN-5ixkDIVLjRa1RVmPjeKy21_GQJaLlJI.woff	(from https://www.tmax.co.kr/)
21:49:06	58032/58032	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2006%20Nov%202020%2000:59:44%20GMT	http://fonts.gstatic.com/l/font?kit=c4FPK8_hIFKoX59qcGwdCt1LKoZ82bBu2f46DhHcs3c&skey=29c3bd833a54ba8c&v=v5	D:/MyWebSites/tmaxcloud/fonts.gstatic.com/l/font.svg_;%20filename_=UTF-8''font4ce6.svg	(from https://www.tmax.co.kr/)
21:49:07	78654/78654	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2289a43d1b43c213edbbe31c1fe4cd2325-1%22	http://static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/686a6a06-e711-4bd2-b393-8504a497bb3c.eot?	D:/MyWebSites/tmaxcloud/static.parastorage.com/services/third-party/fonts/user-site-fonts/fonts/686a6a06-e711-4bd2-b393-8504a497bb3cd41d.eot	(from https://www.tmax.co.kr/)
